timestamp,gender,age,country,highest level of edu,profession,comorbid,infected,closest covid case,primary source of news ,preferred sm platform,sm activity,covid19 stats,preferred healthcare sys,belief in vaccination,predicted end
04-08-2020 18:07,Male,53,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,Newspaper,Whatsapp,4,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:22,Male,25,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Twitter,4,I check once every few days,Allopathy,3,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:23,Male,37,Outside India,Master’s degree,Non-healthcare related profession,Yes,Yes,Myself,Social Media,Twitter,3,I check once every few days,Home Remedies,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:23,Male,48,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,4,I check every day,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:25,Male,36,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Facebook,5,I check once a while (weekly/bi-weekly),Home Remedies,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:25,Female,53,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Family member but different household,Television,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:25,Female,53,India,Professional degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check once a while (weekly/bi-weekly),Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:25,Male,51,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,5,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:26,Male,54,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Twitter,3,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:27,Male,63,India,Professional degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Whatsapp,1,I check once a while (weekly/bi-weekly),Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:28,Male,53,India,Professional degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,2,I check once a while (weekly/bi-weekly),Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:29,Male,39,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,News apps/ Internet,Other,3,I check every day,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
